postcode_sector,road_usage,total_offences,vehicle_offences
DL11,566.0,12666.0,703.0
DL12,566.0,12666.0,703.0
DL13,566.0,12666.0,703.0
DL14,566.0,12666.0,703.0
DL15,566.0,12666.0,703.0
DL21,566.0,12666.0,703.0
DL22,566.0,12666.0,703.0
DL30,566.0,12666.0,703.0
DL36,566.0,12666.0,703.0
DL37,566.0,12666.0,703.0
DL38,566.0,12666.0,703.0
DL39,566.0,12666.0,703.0
DH11,2936.0,51533.0,2497.0
DH12,2936.0,51533.0,2497.0
DH13,2936.0,51533.0,2497.0
DH14,2936.0,51533.0,2497.0
DH15,2936.0,51533.0,2497.0
DH21,2936.0,51533.0,2497.0
DH22,2936.0,51533.0,2497.0
DH23,2936.0,51533.0,2497.0
DH33,2936.0,51533.0,2497.0
DH34,2936.0,51533.0,2497.0
DH46,2936.0,51533.0,2497.0
DH61,2936.0,51533.0,2497.0
DH62,2936.0,51533.0,2497.0
DH63,2936.0,51533.0,2497.0
DH64,2936.0,51533.0,2497.0
DH65,2936.0,51533.0,2497.0
DH70,2936.0,51533.0,2497.0
DH76,2936.0,51533.0,2497.0
DH77,2936.0,51533.0,2497.0
DH78,2936.0,51533.0,2497.0
DH79,2936.0,51533.0,2497.0
DH80,2936.0,51533.0,2497.0
DH85,2936.0,51533.0,2497.0
DH86,2936.0,51533.0,2497.0
DH87,2936.0,51533.0,2497.0
DH88,2936.0,51533.0,2497.0
DH89,2936.0,51533.0,2497.0
DH90,2936.0,51533.0,2497.0
DH96,2936.0,51533.0,2497.0
DH97,2936.0,51533.0,2497.0
DH98,2936.0,51533.0,2497.0
DH99,2936.0,51533.0,2497.0
DL120,2936.0,51533.0,2497.0
DL128,2936.0,51533.0,2497.0
DL129,2936.0,51533.0,2497.0
DL131,2936.0,51533.0,2497.0
DL132,2936.0,51533.0,2497.0
DL133,2936.0,51533.0,2497.0
DL134,2936.0,51533.0,2497.0
DL135,2936.0,51533.0,2497.0
DL140,2936.0,51533.0,2497.0
DL146,2936.0,51533.0,2497.0
DL147,2936.0,51533.0,2497.0
DL148,2936.0,51533.0,2497.0
DL149,2936.0,51533.0,2497.0
DL150,2936.0,51533.0,2497.0
DL158,2936.0,51533.0,2497.0
DL159,2936.0,51533.0,2497.0
DL166,2936.0,51533.0,2497.0
DL167,2936.0,51533.0,2497.0
DL170,2936.0,51533.0,2497.0
DL178,2936.0,51533.0,2497.0
DL179,2936.0,51533.0,2497.0
DL23,2936.0,51533.0,2497.0
DL41,2936.0,51533.0,2497.0
DL42,2936.0,51533.0,2497.0
DL54,2936.0,51533.0,2497.0
DL55,2936.0,51533.0,2497.0
DL56,2936.0,51533.0,2497.0
DL57,2936.0,51533.0,2497.0
NE166,2936.0,51533.0,2497.0
SR70,2936.0,51533.0,2497.0
SR77,2936.0,51533.0,2497.0
SR78,2936.0,51533.0,2497.0
SR79,2936.0,51533.0,2497.0
SR81,2936.0,51533.0,2497.0
SR82,2936.0,51533.0,2497.0
SR83,2936.0,51533.0,2497.0
SR84,2936.0,51533.0,2497.0
SR85,2936.0,51533.0,2497.0
TS212,2936.0,51533.0,2497.0
TS213,2936.0,51533.0,2497.0
TS214,2936.0,51533.0,2497.0
TS274,2936.0,51533.0,2497.0
TS285,2936.0,51533.0,2497.0
TS296,2936.0,51533.0,2497.0
TS240,444.0,12235.0,762.0
TS247,444.0,12235.0,762.0
TS248,444.0,12235.0,762.0
TS249,444.0,12235.0,762.0
TS251,444.0,12235.0,762.0
TS252,444.0,12235.0,762.0
TS253,444.0,12235.0,762.0
TS254,444.0,12235.0,762.0
TS255,444.0,12235.0,762.0
TS260,444.0,12235.0,762.0
TS268,444.0,12235.0,762.0
TS269,444.0,12235.0,762.0
TS273,444.0,12235.0,762.0
TS11,858.0,23636.0,1421.0
TS12,858.0,23636.0,1421.0
TS13,858.0,23636.0,1421.0
TS14,858.0,23636.0,1421.0
TS15,858.0,23636.0,1421.0
TS30,858.0,23636.0,1421.0
TS36,858.0,23636.0,1421.0
TS37,858.0,23636.0,1421.0
TS38,858.0,23636.0,1421.0
TS39,858.0,23636.0,1421.0
TS42,858.0,23636.0,1421.0
TS43,858.0,23636.0,1421.0
TS54,858.0,23636.0,1421.0
TS55,858.0,23636.0,1421.0
TS56,858.0,23636.0,1421.0
TS57,858.0,23636.0,1421.0
TS58,858.0,23636.0,1421.0
TS70,858.0,23636.0,1421.0
TS78,858.0,23636.0,1421.0
TS80,858.0,23636.0,1421.0
TS89,858.0,23636.0,1421.0
TS101,659.0,13506.0,810.0
TS102,659.0,13506.0,810.0
TS103,659.0,13506.0,810.0
TS104,659.0,13506.0,810.0
TS105,659.0,13506.0,810.0
TS116,659.0,13506.0,810.0
TS117,659.0,13506.0,810.0
TS118,659.0,13506.0,810.0
TS121,659.0,13506.0,810.0
TS122,659.0,13506.0,810.0
TS123,659.0,13506.0,810.0
TS134,659.0,13506.0,810.0
TS146,659.0,13506.0,810.0
TS147,659.0,13506.0,810.0
TS148,659.0,13506.0,810.0
TS60,659.0,13506.0,810.0
TS66,659.0,13506.0,810.0
TS67,659.0,13506.0,810.0
TS68,659.0,13506.0,810.0
TS69,659.0,13506.0,810.0
TS79,659.0,13506.0,810.0
TS159,1058.0,19753.0,1045.0
TS160,1058.0,19753.0,1045.0
TS169,1058.0,19753.0,1045.0
TS170,1058.0,19753.0,1045.0
TS175,1058.0,19753.0,1045.0
TS176,1058.0,19753.0,1045.0
TS177,1058.0,19753.0,1045.0
TS178,1058.0,19753.0,1045.0
TS179,1058.0,19753.0,1045.0
TS181,1058.0,19753.0,1045.0
TS182,1058.0,19753.0,1045.0
TS183,1058.0,19753.0,1045.0
TS184,1058.0,19753.0,1045.0
TS185,1058.0,19753.0,1045.0
TS190,1058.0,19753.0,1045.0
TS197,1058.0,19753.0,1045.0
TS198,1058.0,19753.0,1045.0
TS199,1058.0,19753.0,1045.0
TS201,1058.0,19753.0,1045.0
TS202,1058.0,19753.0,1045.0
TS21,1058.0,19753.0,1045.0
TS211,1058.0,19753.0,1045.0
TS225,1058.0,19753.0,1045.0
TS231,1058.0,19753.0,1045.0
TS232,1058.0,19753.0,1045.0
TS233,1058.0,19753.0,1045.0
TS234,1058.0,19753.0,1045.0
NE11,1209.0,36814.0,2200.0
NE12,1209.0,36814.0,2200.0
NE13,1209.0,36814.0,2200.0
NE137,1209.0,36814.0,2200.0
NE138,1209.0,36814.0,2200.0
NE139,1209.0,36814.0,2200.0
NE14,1209.0,36814.0,2200.0
NE15,1209.0,36814.0,2200.0
NE156,1209.0,36814.0,2200.0
NE157,1209.0,36814.0,2200.0
NE158,1209.0,36814.0,2200.0
NE159,1209.0,36814.0,2200.0
NE16,1209.0,36814.0,2200.0
NE17,1209.0,36814.0,2200.0
NE18,1209.0,36814.0,2200.0
NE21,1209.0,36814.0,2200.0
NE22,1209.0,36814.0,2200.0
NE23,1209.0,36814.0,2200.0
NE24,1209.0,36814.0,2200.0
NE31,1209.0,36814.0,2200.0
NE32,1209.0,36814.0,2200.0
NE33,1209.0,36814.0,2200.0
NE34,1209.0,36814.0,2200.0
NE35,1209.0,36814.0,2200.0
NE45,1209.0,36814.0,2200.0
NE46,1209.0,36814.0,2200.0
NE47,1209.0,36814.0,2200.0
NE48,1209.0,36814.0,2200.0
NE49,1209.0,36814.0,2200.0
NE51,1209.0,36814.0,2200.0
NE52,1209.0,36814.0,2200.0
NE53,1209.0,36814.0,2200.0
NE54,1209.0,36814.0,2200.0
NE55,1209.0,36814.0,2200.0
NE61,1209.0,36814.0,2200.0
NE62,1209.0,36814.0,2200.0
NE63,1209.0,36814.0,2200.0
NE64,1209.0,36814.0,2200.0
NE65,1209.0,36814.0,2200.0
NE77,1209.0,36814.0,2200.0
NE125,903.0,19288.0,1352.0
NE126,903.0,19288.0,1352.0
NE127,903.0,19288.0,1352.0
NE128,903.0,19288.0,1352.0
NE129,903.0,19288.0,1352.0
NE136,903.0,19288.0,1352.0
NE237,903.0,19288.0,1352.0
NE258,903.0,19288.0,1352.0
NE259,903.0,19288.0,1352.0
NE261,903.0,19288.0,1352.0
NE262,903.0,19288.0,1352.0
NE263,903.0,19288.0,1352.0
NE270,903.0,19288.0,1352.0
NE280,903.0,19288.0,1352.0
NE286,903.0,19288.0,1352.0
NE287,903.0,19288.0,1352.0
NE288,903.0,19288.0,1352.0
NE289,903.0,19288.0,1352.0
NE290,903.0,19288.0,1352.0
NE296,903.0,19288.0,1352.0
NE297,903.0,19288.0,1352.0
NE298,903.0,19288.0,1352.0
NE299,903.0,19288.0,1352.0
NE301,903.0,19288.0,1352.0
NE302,903.0,19288.0,1352.0
NE303,903.0,19288.0,1352.0
NE304,903.0,19288.0,1352.0
NE311,528.0,15028.0,678.0
NE312,528.0,15028.0,678.0
NE323,528.0,15028.0,678.0
NE324,528.0,15028.0,678.0
NE325,528.0,15028.0,678.0
NE331,528.0,15028.0,678.0
NE332,528.0,15028.0,678.0
NE333,528.0,15028.0,678.0
NE334,528.0,15028.0,678.0
NE335,528.0,15028.0,678.0
NE340,528.0,15028.0,678.0
NE346,528.0,15028.0,678.0
NE347,528.0,15028.0,678.0
NE348,528.0,15028.0,678.0
NE349,528.0,15028.0,678.0
NE359,528.0,15028.0,678.0
NE360,528.0,15028.0,678.0
SR67,528.0,15028.0,678.0
DH44,1201.0,30812.0,1777.0
DH45,1201.0,30812.0,1777.0
DH47,1201.0,30812.0,1777.0
DH50,1201.0,30812.0,1777.0
DH58,1201.0,30812.0,1777.0
DH59,1201.0,30812.0,1777.0
NE371,1201.0,30812.0,1777.0
NE372,1201.0,30812.0,1777.0
NE373,1201.0,30812.0,1777.0
NE380,1201.0,30812.0,1777.0
NE387,1201.0,30812.0,1777.0
NE388,1201.0,30812.0,1777.0
NE389,1201.0,30812.0,1777.0
SR11,1201.0,30812.0,1777.0
SR12,1201.0,30812.0,1777.0
SR13,1201.0,30812.0,1777.0
SR20,1201.0,30812.0,1777.0
SR27,1201.0,30812.0,1777.0
SR28,1201.0,30812.0,1777.0
SR29,1201.0,30812.0,1777.0
SR31,1201.0,30812.0,1777.0
SR32,1201.0,30812.0,1777.0
SR33,1201.0,30812.0,1777.0
SR34,1201.0,30812.0,1777.0
SR40,1201.0,30812.0,1777.0
SR46,1201.0,30812.0,1777.0
SR47,1201.0,30812.0,1777.0
SR48,1201.0,30812.0,1777.0
SR49,1201.0,30812.0,1777.0
SR51,1201.0,30812.0,1777.0
SR52,1201.0,30812.0,1777.0
SR53,1201.0,30812.0,1777.0
SR54,1201.0,30812.0,1777.0
SR55,1201.0,30812.0,1777.0
SR60,1201.0,30812.0,1777.0
SR68,1201.0,30812.0,1777.0
SR69,1201.0,30812.0,1777.0
BB11,521.0,15835.0,1217.0
BB12,521.0,15835.0,1217.0
BB13,521.0,15835.0,1217.0
BB15,521.0,15835.0,1217.0
BB16,521.0,15835.0,1217.0
BB17,521.0,15835.0,1217.0
BB18,521.0,15835.0,1217.0
BB21,521.0,15835.0,1217.0
BB22,521.0,15835.0,1217.0
BB23,521.0,15835.0,1217.0
BB24,521.0,15835.0,1217.0
BB25,521.0,15835.0,1217.0
BB26,521.0,15835.0,1217.0
BB30,521.0,15835.0,1217.0
BB31,521.0,15835.0,1217.0
BB32,521.0,15835.0,1217.0
BB33,521.0,15835.0,1217.0
BL70,521.0,15835.0,1217.0
BL78,521.0,15835.0,1217.0
FY11,417.0,23742.0,1320.0
FY12,417.0,23742.0,1320.0
FY13,417.0,23742.0,1320.0
FY14,417.0,23742.0,1320.0
FY15,417.0,23742.0,1320.0
FY16,417.0,23742.0,1320.0
FY20,417.0,23742.0,1320.0
FY29,417.0,23742.0,1320.0
FY37,417.0,23742.0,1320.0
FY38,417.0,23742.0,1320.0
FY39,417.0,23742.0,1320.0
FY41,417.0,23742.0,1320.0
FY42,417.0,23742.0,1320.0
FY43,417.0,23742.0,1320.0
FY44,417.0,23742.0,1320.0
FY45,417.0,23742.0,1320.0
FY53,417.0,23742.0,1320.0
CW100,3147.0,31172.0,1414.0
CW109,3147.0,31172.0,1414.0
CW111,3147.0,31172.0,1414.0
CW112,3147.0,31172.0,1414.0
CW113,3147.0,31172.0,1414.0
CW114,3147.0,31172.0,1414.0
CW12,3147.0,31172.0,1414.0
CW121,3147.0,31172.0,1414.0
CW122,3147.0,31172.0,1414.0
CW123,3147.0,31172.0,1414.0
CW124,3147.0,31172.0,1414.0
CW13,3147.0,31172.0,1414.0
CW14,3147.0,31172.0,1414.0
CW15,3147.0,31172.0,1414.0
CW16,3147.0,31172.0,1414.0
CW25,3147.0,31172.0,1414.0
CW26,3147.0,31172.0,1414.0
CW27,3147.0,31172.0,1414.0
CW28,3147.0,31172.0,1414.0
CW30,3147.0,31172.0,1414.0
CW47,3147.0,31172.0,1414.0
CW48,3147.0,31172.0,1414.0
CW55,3147.0,31172.0,1414.0
CW56,3147.0,31172.0,1414.0
CW57,3147.0,31172.0,1414.0
CW58,3147.0,31172.0,1414.0
SK101,3147.0,31172.0,1414.0
SK102,3147.0,31172.0,1414.0
SK103,3147.0,31172.0,1414.0
SK104,3147.0,31172.0,1414.0
SK105,3147.0,31172.0,1414.0
SK110,3147.0,31172.0,1414.0
SK116,3147.0,31172.0,1414.0
SK117,3147.0,31172.0,1414.0
SK118,3147.0,31172.0,1414.0
SK119,3147.0,31172.0,1414.0
SK121,3147.0,31172.0,1414.0
SK122,3147.0,31172.0,1414.0
SK91,3147.0,31172.0,1414.0
SK92,3147.0,31172.0,1414.0
SK93,3147.0,31172.0,1414.0
SK94,3147.0,31172.0,1414.0
SK95,3147.0,31172.0,1414.0
SK96,3147.0,31172.0,1414.0
SK97,3147.0,31172.0,1414.0
ST72,3147.0,31172.0,1414.0
ST73,3147.0,31172.0,1414.0
WA160,3147.0,31172.0,1414.0
WA166,3147.0,31172.0,1414.0
WA167,3147.0,31172.0,1414.0
WA168,3147.0,31172.0,1414.0
WA169,3147.0,31172.0,1414.0
CH11,2714.0,29012.0,866.0
CH12,2714.0,29012.0,866.0
CH13,2714.0,29012.0,866.0
CH14,2714.0,29012.0,866.0
CH15,2714.0,29012.0,866.0
CH16,2714.0,29012.0,866.0
CH21,2714.0,29012.0,866.0
