postcode_sector,relative_area,population_density,multiple_deprivation_index,income_deprivation_index,employment_deprivation_index,crime_deprivation_index,rural_urban,distance_to_station,never_worked,region
AB101,1354.0299999999977,53.81980198019806,16.748000000000037,0.10500000000000034,0.0909999999999999,-0.027999999999999893,Large urban area,0.829960608910891,Average,Scotland
AB106,458.9900000000006,86.46584362139916,16.74800000000004,0.10500000000000036,0.0910000000000001,-0.02799999999999984,Large urban area,1.609039744855968,Average,Scotland
AB107,1053.1000000000004,55.79506726457399,16.74800000000004,0.10500000000000034,0.09100000000000001,-0.027999999999999865,Large urban area,2.8992829596412575,Average,Scotland
AB115,2317.540000000003,60.74296296296294,16.748000000000033,0.1050000000000003,0.09099999999999984,-0.02800000000000002,Large urban area,0.7734037481481479,Average,Scotland
AB116,918.2199999999993,95.78443396226412,16.74800000000004,0.10500000000000034,0.09099999999999996,-0.02799999999999988,Large urban area,0.5334378113207545,Average,Scotland
AB117,182.80999999999992,59.25087719298245,16.74800000000002,0.10500000000000013,0.09100000000000011,-0.02800000000000002,Large urban area,0.9848301578947372,Average,Scotland
AB118,1859.1600000000014,83.43263888888885,16.748000000000033,0.1050000000000003,0.0909999999999998,-0.028000000000000018,Large urban area,1.5729634305555553,Average,Scotland
AB119,422.97999999999985,80.54361702127655,16.74800000000003,0.10500000000000023,0.09100000000000008,-0.02800000000000002,Large urban area,1.2788704361702126,Average,Scotland
AB123,36972.680000000015,24.74265232974907,16.747999999999983,0.10500000000000036,0.09100000000000023,-0.027999999999999806,Large urban area,3.8789486738351253,Average,Scotland
AB124,27043.960000000014,26.916022099447513,16.748000000000037,0.10500000000000033,0.09099999999999976,-0.027999999999999928,Accessible small town,1.190060296685083,Average,Scotland
AB125,24775.079999999994,43.810441767068276,16.74800000000003,0.10500000000000036,0.09100000000000012,-0.027999999999999834,Large urban area,3.601401526104418,Average,Scotland
AB129,1022.84,8.932530120481939,16.74800000000003,0.10500000000000022,0.09100000000000014,-0.028000000000000018,Large urban area,1.4323432409638523,Average,Scotland
AB130,6418.509999999995,16.990804597701153,16.74800000000003,0.10500000000000022,0.09100000000000014,-0.02800000000000002,Accessible small town,8.351491264367814,Average,Scotland
AB140,11399.539999999994,29.402816901408457,16.748000000000033,0.1050000000000003,0.09099999999999982,-0.02800000000000002,Accessible small town,9.731295985915493,Average,Scotland
AB154,555.2900000000002,39.94838709677419,16.748000000000033,0.10500000000000029,0.09099999999999989,-0.02800000000000002,Large urban area,2.2459086290322583,Average,Scotland
AB155,299.62,54.03364485981307,16.748000000000033,0.10500000000000026,0.09099999999999998,-0.02800000000000002,Large urban area,2.261555046728972,Average,Scotland
AB156,2673.1699999999987,39.25892857142859,16.748000000000037,0.10500000000000032,0.09099999999999973,-0.027999999999999955,Large urban area,3.7895836309523796,Average,Scotland
AB157,864.71,36.187999999999974,16.748000000000037,0.1050000000000003,0.09099999999999979,-0.028,Large urban area,3.305917333333333,Average,Scotland
AB158,29361.65,25.933333333333387,16.74800000000001,0.10500000000000036,0.09100000000000016,-0.027999999999999824,Large urban area,5.1161286973180085,Average,Scotland
AB159,9861.339999999998,22.538427947598247,16.74800000000004,0.10500000000000034,0.09100000000000004,-0.027999999999999855,Large urban area,5.988052008733624,Average,Scotland
AB165,724.6899999999999,99.05461847389553,16.74800000000003,0.10500000000000036,0.09100000000000012,-0.027999999999999834,Large urban area,3.5171359036144563,Average,Scotland
AB166,534.3300000000005,61.28069306930694,16.748000000000037,0.10500000000000034,0.0909999999999999,-0.027999999999999893,Large urban area,4.346507623762375,Average,Scotland
AB167,6016.11,64.02697095435694,16.74800000000004,0.10500000000000036,0.0910000000000001,-0.02799999999999984,Large urban area,4.263233402489628,Average,Scotland
AB169,3872.739999999999,2.9637499999999948,16.748000000000026,0.1050000000000002,0.09100000000000014,-0.028000000000000018,Large urban area,3.231485999999999,Average,Scotland
AB210,91201.29000000001,18.097124600638946,16.74799999999994,0.10500000000000027,0.09100000000000032,-0.027999999999999862,Accessible rural area,5.393032476038341,Average,Scotland
AB211,1012.5,0.4000000000000001,16.748,0.105,0.09100000000000001,-0.027999999999999997,Large urban area,0.6565823333333333,Average,Scotland
AB217,22044.820000000007,33.33045977011491,16.748000000000037,0.10500000000000033,0.09099999999999972,-0.02799999999999994,Large urban area,1.1454377350574718,Average,Scotland
AB219,22531.530000000013,32.330152671755684,16.748000000000008,0.10500000000000036,0.09100000000000018,-0.02799999999999982,Large urban area,3.0607764885496165,Average,Scotland
AB228,8448.929999999988,45.3787878787879,16.74799999999996,0.10500000000000037,0.09100000000000028,-0.02799999999999983,Large urban area,4.369790639730639,Average,Scotland
AB229,3724.03,12.885714285714286,16.748,0.105,0.09099999999999998,-0.027999999999999997,Accessible rural area,4.092727142857143,Average,Scotland
AB238,63660.040000000066,26.323794212218612,16.747999999999944,0.1050000000000003,0.09100000000000032,-0.02799999999999986,Accessible rural area,6.328349003215433,Average,Scotland
AB239,106.21,20.2,16.748,0.105,0.09100000000000001,-0.027999999999999997,Large urban area,4.59417,Average,Scotland
AB241,884.6299999999997,251.55638297872324,16.74800000000003,0.10500000000000023,0.09100000000000008,-0.02800000000000002,Large urban area,2.8185949999999993,Average,Scotland
AB242,672.4499999999998,85.7756097560976,16.748000000000037,0.10500000000000032,0.09099999999999975,-0.027999999999999966,Large urban area,3.3625169512195114,Average,Scotland
AB243,877.0499999999998,77.36428571428584,16.748000000000037,0.10500000000000033,0.09099999999999978,-0.027999999999999928,Large urban area,2.0389124175824174,Average,Scotland
AB244,377.2299999999998,58.16272189349116,16.748000000000037,0.10500000000000032,0.09099999999999973,-0.027999999999999955,Large urban area,3.1246657396449713,Average,Scotland
AB245,973.6200000000007,103.60100502512554,16.748000000000037,0.10500000000000034,0.09099999999999989,-0.027999999999999896,Large urban area,1.3895655879396986,Average,Scotland
AB251,271.2799999999998,249.48255033557052,16.748000000000037,0.1050000000000003,0.09099999999999979,-0.028000000000000004,Large urban area,0.9596738456375841,Average,Scotland
AB252,1140.1399999999992,100.22954545454535,16.748000000000037,0.10500000000000033,0.09099999999999973,-0.027999999999999938,Large urban area,1.5019124659090908,Average,Scotland
AB253,542.3500000000001,87.19659863945579,16.748000000000037,0.1050000000000003,0.0909999999999998,-0.02800000000000001,Large urban area,1.8324943537414962,Average,Scotland
AB259,6.8,87.1,16.748,0.105,0.091,-0.027999999999999997,Large urban area,2.11835,Average,Scotland
AB301,226850.5600000001,8.958520900321512,16.747999999999944,0.1050000000000003,0.09100000000000032,-0.02799999999999986,Accessible rural area,4.7479492385852105,Average,Scotland
AB314,168884.66999999993,8.06150793650791,16.748000000000026,0.10500000000000036,0.09100000000000014,-0.02799999999999983,Remote rural area,23.23902579365079,Average,Scotland
AB315,70491.04000000015,22.40073529411764,16.747999999999994,0.10500000000000036,0.0910000000000002,-0.027999999999999813,Accessible small town,17.726205514705867,Average,Scotland
AB316,258622.06000000017,0.40366972477064206,16.748000000000033,0.10500000000000026,0.09099999999999997,-0.02800000000000002,Accessible rural area,16.928392385321104,Average,Scotland
AB319,35.21,21.0,16.748,0.10500000000000001,0.091,-0.027999999999999997,Accessible small town,18.70006,Average,Scotland
AB326,56085.07999999999,26.36852459016394,16.74799999999995,0.10500000000000037,0.0910000000000003,-0.027999999999999844,Other urban area,8.893522983606557,Average,Scotland
AB327,39063.54000000001,1.8905660377358489,16.74800000000002,0.10500000000000011,0.09100000000000011,-0.02800000000000002,Accessible rural area,13.095395471698115,Average,Scotland
AB329,97.67999999999999,15.450000000000001,16.748,0.105,0.091,-0.027999999999999997,Other urban area,8.60396,Average,Scotland
AB338,318722.71999999945,7.193726937269356,16.747999999999994,0.10500000000000036,0.0910000000000002,-0.027999999999999813,Remote rural area,15.005335977859781,Average,Scotland
AB344,99278.69,6.674647887323947,16.748000000000026,0.10500000000000019,0.09100000000000012,-0.02800000000000002,Remote rural area,27.318477464788725,Average,Scotland
AB345,319428.1900000001,8.137373737373736,16.748000000000037,0.10500000000000034,0.09099999999999987,-0.0279999999999999,Remote rural area,30.52702070707071,Average,Scotland
AB355,1119271.17,10.836746987951795,16.748000000000037,0.10500000000000032,0.09099999999999975,-0.02799999999999996,Very remote rural area,38.990820481927706,Average,Scotland
AB368,251583.98999999993,0.029787234042553193,16.74800000000001,0.10500000000000007,0.0910000000000001,-0.02800000000000002,Very remote rural area,31.075374468085116,Average,Scotland
AB379,355553.1199999997,0.48045977011494256,16.74800000000003,0.10500000000000022,0.09100000000000014,-0.02800000000000002,Remote rural area,27.77731839080459,Average,Scotland
AB387,72697.1,14.77500000000001,16.748000000000022,0.10500000000000016,0.09100000000000012,-0.02800000000000002,Accessible rural area,16.19070781250001,Average,Scotland
AB389,49682.60999999997,7.635353535353536,16.74800000000003,0.10500000000000025,0.09100000000000004,-0.02800000000000002,Accessible rural area,17.507652121212114,Average,Scotland
AB392,33945.22,42.944407894736905,16.74799999999995,0.10500000000000037,0.0910000000000003,-0.027999999999999844,Other urban area,1.2569702930921047,Average,Scotland
AB393,126416.74000000005,15.484924623115566,16.748000000000037,0.10500000000000034,0.09099999999999989,-0.027999999999999896,Accessible rural area,4.435400537688441,Average,Scotland
AB398,20156.570000000003,1.847058823529412,16.747999999999998,0.105,0.09099999999999998,-0.02800000000000001,Accessible rural area,4.379416470588234,Average,Scotland
AB399,10.78,67.65,16.748,0.105,0.091,-0.027999999999999997,Other urban area,1.06896,Average,Scotland
AB411,41.82,21.15,16.748,0.105,0.091,-0.027999999999999997,Remote small town,19.0218,Average,Scotland
AB416,60127.49999999999,9.703076923076926,16.748000000000033,0.10500000000000029,0.09099999999999986,-0.02800000000000002,Accessible rural area,14.023271,Average,Scotland
AB417,104699.51999999999,10.234328358208971,16.748000000000037,0.10500000000000034,0.0909999999999999,-0.027999999999999893,Accessible rural area,15.67572288557214,Average,Scotland
AB418,264547.35000000003,6.908058608058564,16.747999999999994,0.10500000000000036,0.0910000000000002,-0.027999999999999813,Remote rural area,21.991099633699623,Average,Scotland
AB419,3646.9400000000023,31.75527638190954,16.748000000000037,0.10500000000000034,0.09099999999999989,-0.027999999999999896,Remote small town,19.093950251256288,Average,Scotland
AB420,85697.51000000008,12.481045751633943,16.748000000000037,0.10500000000000032,0.09099999999999978,-0.027999999999999994,Accessible rural area,30.692900653594762,Average,Scotland
AB421,1761.2999999999984,41.39352517985615,16.747999999999987,0.10500000000000036,0.09100000000000022,-0.027999999999999806,Other urban area,41.4612931654676,Average,Scotland
AB422,1185.5100000000002,43.475,16.748000000000037,0.10500000000000032,0.09099999999999978,-0.027999999999999987,Other urban area,40.25029935897437,Average,Scotland
AB423,112546.37000000011,12.356744186046505,16.74800000000004,0.10500000000000034,0.09099999999999997,-0.027999999999999876,Accessible rural area,40.13198139534884,Average,Scotland
AB424,142214.64000000004,6.908837209302321,16.74800000000004,0.10500000000000034,0.09099999999999997,-0.027999999999999876,Accessible rural area,35.10366046511628,Average,Scotland
AB425,113200.5700000002,12.64975369458125,16.748000000000037,0.10500000000000034,0.09099999999999991,-0.027999999999999893,Accessible rural area,31.31559507389163,Average,Scotland
AB429,9.48,28.7,16.748,0.105,0.091,-0.027999999999999997,Other urban area,41.2767,Average,Scotland
AB436,171211.5100000002,11.316107382550335,16.748000000000037,0.1050000000000003,0.09099999999999979,-0.028000000000000004,Accessible rural area,37.669402684563735,Average,Scotland
AB437,91105.99999999996,15.126627218934917,16.748000000000037,0.10500000000000032,0.09099999999999973,-0.027999999999999955,Accessible rural area,46.08203550295858,Average,Scotland
AB438,90668.85000000003,15.490624999999989,16.748000000000037,0.10500000000000032,0.09099999999999976,-0.027999999999999976,Accessible rural area,46.91736312500001,Average,Scotland
AB439,1892.0799999999995,42.94705882352939,16.747999999999994,0.10500000000000036,0.0910000000000002,-0.027999999999999813,Other urban area,49.57555257352941,Average,Scotland
AB441,1389.1200000000026,36.043749999999996,16.748000000000033,0.1050000000000003,0.0909999999999998,-0.028000000000000018,Remote small town,30.065322222222207,Average,Scotland
AB451,683.2399999999997,31.110344827586246,16.748000000000033,0.1050000000000003,0.0909999999999998,-0.028000000000000014,Remote small town,28.36751862068966,Average,Scotland
AB452,190917.2799999998,11.698437499999999,16.74800000000002,0.10500000000000036,0.09100000000000015,-0.027999999999999827,Remote rural area,20.59048437499999,Average,Scotland
AB453,204994.0399999999,3.6123222748815165,16.74800000000004,0.10500000000000034,0.09099999999999996,-0.02799999999999988,Remote rural area,28.242163033175355,Average,Scotland
AB510,126028.88999999984,17.49017341040466,16.74799999999991,0.10499999999999995,0.09100000000000039,-0.02799999999999992,Accessible rural area,6.187865210982653,Average,Scotland
AB511,86.28,5.0,16.748,0.105,0.09099999999999998,-0.027999999999999997,Other urban area,0.14939083333333333,Average,Scotland
AB513,810.2399999999998,34.882467532467516,16.748000000000037,0.10500000000000032,0.09099999999999978,-0.02799999999999999,Other urban area,0.9662213116883115,Average,Scotland
